Source,題目編號,題目類別,Question,選項A,選項B,選項C,正確答案,講解,
慈濟,,營養素類,小芳長期吃素，最近出現臉色蒼白、容易喘、專注力下降的情況。她平時飯後會立刻喝茶。這些是缺乏鐵質的症狀。請問她要如何才能補救提升鐵質的攝取？,在攝取高鐵質食物（紅莧菜、紅豆、黑芝麻）時，搭配富含維生素 C 的水果（芭樂、奇異果、柑橘），可將植物鐵的吸收率提升數倍。,將茶與咖啡延後至飯後 1 小時以上再飲用,以上兩個選項都正確,以上兩個選項都正確,"缺乏鐵質的症狀： 缺鐵性貧血、臉色蒼白、容易喘、指甲凹陷、專注力下降。 
補救對策： 餐後維生素 C： 在攝取高鐵質食物（紅莧菜、紅豆、黑芝麻）時，搭配富含維生素 C 的水果（芭樂、奇異果、柑橘），可將植物鐵的吸收率提升數倍。 
避開幹擾因子： 茶與咖啡中的單寧酸會抑制鐵吸收，建議飯後至少間隔 1 小時再飲用。",如上
慈濟,,營養素類,小美不喝牛奶，平時以素食為主，最近常抽筋、睡眠品質差，也容易感到焦慮。她以為多吃菠菜就能補鈣，卻發現狀況沒有明顯改善。原來菠菜雖然鈣含量高，但草酸高，實際鈣吸收率不佳。請問營養師建議她要如何補救方法？,選擇加鈣豆漿與黑芝麻糊可作為日常補鈣的飲品；及使用食用石膏凝固的傳統板豆腐或豆乾,食用鈣來源的十字花科蔬菜（如芥藍、青江菜、花椰菜）,以上兩個選項都正確,以上兩個選項都正確,為什麼會缺乏鈣？ 植物中的草酸（Oxalic acid）和植酸（Phytic acid）會抓住鈣質，大幅降低吸收率。例如菠菜雖然鈣含量高，但草酸也高，吸收率極差。 缺乏症狀： 骨質疏鬆、抽筋、失眠、情緒焦慮。 補救對策： 選擇吸收率高的蔬菜： 十字花科蔬菜（如芥藍、青江菜、花椰菜）的鈣吸收率優於菠菜。 特定豆製品： 選擇使用「食用石膏」凝固的傳統板豆腐或豆乾，含鈣量遠高於嫩豆腐。 高鈣飲品： 黑芝麻糊、加鈣豆漿,如上
慈濟,,營養素類,小明是全素者，完全不吃蛋奶。最近他常感到手腳麻木刺痛、記憶力下降、容易疲勞，並出現貧血。他嚴重缺乏維生素B12。請問下列哪些敘述或做法是正確的？,維生素 B12 主要存在於動物性食品，植物性食材幾乎不含生理活性 B12。全素者應食用 B12 強化食品（如營養酵母、強化植物奶）或直接服用補充劑。蛋奶素者可透過規律攝取雞蛋與牛奶補充 B12,維生素 B12 不重要，只要均衡飲食即可,以上兩個選項都正確,維生素 B12 主要存在於動物性食品，植物性食材幾乎不含生理活性 B12。全素者應食用 B12 強化食品（如營養酵母、強化植物奶）或直接服用補充劑。蛋奶素者可透過規律攝取雞蛋與牛奶補充 B12,維生素 B12 主要由微生物生成，自然界中多存在於動物性食品（肉類、內臟、蛋、奶）中。植物性食材幾乎不含具有生理活性的 B12。雖然紫菜、海藻或發酵食品（如天貝、味噌）含有類似 B12 的物質，但多屬於人體無法利用的「偽維生素 B12」，依賴這些食物補充並不可靠。 缺乏症狀： 貧血、手腳麻木刺痛（神經受損）、記憶力衰退、疲勞、情緒不穩，嚴重者可能導致不可逆的神經損傷。 補救對策： 蛋奶素者： 規律攝取雞蛋與牛奶。 全素者： 務必食用B12 強化食品（如強化 營養酵母、強化植物奶）或直接服用 B12 補充劑。這是全素者維持健康最安全且必要的投資。,如上
慈濟,,名人啟發類,Alex Honnold （艾力克斯.霍諾德）99%的時間採用植物性飲食，投入高難度攀岩。今年初成功徒手、無繩索攻頂臺北101.，他的肌力與耐力都很出色。下列哪些敘述正確？,只有動物性蛋白才能支撐極限運動,豆類、五穀雜糧、蔬菜并非沒有力氣、沒肌肉缺乏蛋白質。 他選擇少肉、少乳製品，不是爲了表現，而是出自健康與環保意識。,高強度運動員無法靠素食維持肌力,豆類、五穀雜糧、蔬菜并非沒有力氣、沒肌肉缺乏蛋白質。 他選擇少肉、少乳製品，不是爲了表現，而是出自健康與環保意識。,,
慈濟,,影片,請問這短片出現在哪部電影？,《變形金剛》,《明日之後》,《高處營救》,《明日之後》,,
慈濟,,影片,請問這短片出現在哪部電影？,《小鸡快跑：逃出鸡块工厂》Chicken Run: Dawn of the Nugget,《玩具總動員》Toy Story,《魔法滿屋》Encanto,《小鸡快跑：逃出鸡块工厂》Chicken Run: Dawn of the Nugget,,
慈濟,,素食產品,未來肉的一個主要特色是什麼？,含有抗生素,100%植物製作,主要由牛肉製成,100%植物製作,未來肉製成的漢堡排有幾個特色，無GMO（基因改造食品）、無抗生素、無肉（100%純素全植物製作）、無麩質。主要營養素含量與肉差異不大，又跟肉一樣好吃、多汁美味、外型像真肉，連鮮紅色的肉汁都一樣。」而且由碗豆、甜菜根、植物油等製作的未來肉，和畜牧業相比產生的資源消耗更低，更合乎愛護地球，維護環境資源的精神。 未來肉營養價值普遍相等於甚至高於一般漢堡肉，甚至含有較高的膳食纖維、鐵、維生素Ｃ。但在希望每日攝取較低的鈉含量來說並沒有太大差異。「未來肉鐵質含量很不錯，不過不確定是額外添加的鐵質來源還是純粹來自甜菜、豌豆分離蛋白的鐵質，若為甜菜、豌豆等植物性來源的鐵質，吸收率沒有肉類來得好，需要跟高維生素Ｃ的食物一起吃增加吸收率。」程涵宇營養師說道。 跟真正的肉類相比，未來肉雖然比較環保，但天然度又比不上真正的原型食物。適合「追求友善環境、想嚐鮮、吃蔬食、追求真實肉類口感的人。,
慈濟,,素食產品,未來肉常見的原料包括哪一項？,牛油與豬肉,魚肉與雞蛋,豌豆、甜菜根與植物油,豌豆、甜菜根與植物油,,
慈濟,,素食產品,與畜牧業相比，未來肉的一項優點是什麼？,需要更多土地與水資源,產生更高的資源消耗,資源消耗較低，較環保,資源消耗較低，較環保,,
慈濟,,素食產品,未來肉中的鐵質若來自植物來源，建議搭配什麼食物一起吃以提高吸收率？,高脂肪食物,高維生素C的食物,高鹽食物,高維生素C的食物,,
慈濟,,營養素類,每一頓飯理想的蛋白質攝取量大約是多少？,約10克蛋白質,約20克蛋白質,約40克蛋白質,約20克蛋白質,每頓飯的理想攝取量約為20克蛋白質。作為素食主義者，這是一個相對容易達到的數字：大約3個雞蛋、250克希臘優格或500毫升強化牛奶,「素食」怎麼吃才健康？十件關於素食你應該知道的事 - 迷誠品
慈濟,,營養素類,以下哪一種食物份量大約可以提供一餐所需的20克蛋白質？,約3顆雞蛋,500毫升強化牛奶,以上兩個選項都正確,以上兩個選項都正確,,
慈濟,,營養素類,為什麼蛋白質對身體很重要？,幫助身體修復與建立組織,只用來增加食物體積,只用來增加甜味,幫助身體修復與建立組織,,
慈濟,,營養素類,對於素食者來說，以下哪一種飲品可以幫助補充蛋白質？,500毫升強化牛奶,黑咖啡,綠茶,500毫升強化牛奶,,
慈濟,,營養素類,現代人選擇吃素的一個主要健康原因是什麼？,降低慢性病風險,增加食物的顏色,延長食物保存時間,降低慢性病風險,"現代人為什麼吃素？ 
1️⃣ 健康因素 降低慢性病風險：研究顯示，適當的素食可降低心血管疾病、糖尿病和某些癌症風險。 控制體重：素食通常富含纖維，熱量密度較低，有助於維持健康體重。 改善腸道健康：高纖飲食有助於腸道菌群平衡，減少便秘和腸胃問題。
2️⃣ 環保與永續發展
減少碳足跡：畜牧業排放大量溫室氣體，素食飲食能減少環境負擔。
節省水資源：生產肉類需大量用水，相較之下，植物性飲食更環保。
3️⃣ 動物倫理
許多人選擇素食是為了減少對動物的傷害，特別是支持零殘忍（cruelty-free）和人道養殖的理念。
4️⃣ 社會與流行趨勢
越來越多名人、運動員支持素食，如網球選手喬科維奇（Novak Djokovic）、演員娜塔莉波曼（Natalie Portman）。
植物性食品選擇增加，如植物肉（Beyond Meat、OmniPork）、植物奶（燕麥奶、杏仁奶）讓吃素更方便。",現代素食的挑戰與迷思 - 營養師說健康
慈濟,,營養素類,為什麼素食有助於控制體重？,素食完全沒有熱量,素食通常含有較高的纖維與較低的熱量密度,素食吃很多水果,素食通常含有較高的纖維與較低的熱量密度,,
慈濟,,營養素類,高纖維的素食飲食對腸道有什麼好處？,幫助腸道菌群平衡並改善便秘,使腸道停止蠕動,減少腸道菌群,幫助腸道菌群平衡並改善便秘,,
慈濟,,營養素類,吃素除了健康，也常與哪一種理念有關？,減少運動,愛護動物,獲得福報,愛護動物,,
慈濟,,營養素類,除了健康因素外，許多人吃素還與哪一個原因有關？,環境保護,減少碳足跡和節省水資源,以上兩個選項都正確,以上兩個選項都正確,,
慈濟,,營養素類,適當的健康素食飲食可能降低哪一種疾病風險？,心血管疾病,糖尿病和癌症風險,以上兩個選項都正確,以上兩個選項都正確,,
慈濟,,營養素類,乳品類主要提供哪一種重要礦物質？,鐵,鈣,鋅,鈣,"乳品類（含鈣食物） 
📌健康建議：乳糖不耐者可選擇無乳糖牛奶或強化鈣的植物奶。 主要營養素：鈣、蛋白質、維生素B2 提供能量：維持骨骼健康、幫助肌肉與神經正常運作 食物來源： 動物乳品：牛奶、羊奶、優格、起司 植物奶（強化鈣）：豆漿、杏仁奶、燕麥奶（須確認鈣含量） 每天早晚建議各喝一杯奶（一杯約240毫升）才能補充足夠的鈣質，其他如小魚干、黑芝麻、豆干、海帶或深綠色蔬菜均有不同的鈣質。 年長者與發育中的孩童更要注意乳品的攝取，不只是鈣，也是極佳蛋白質的營養來源！乳品類（含鈣食物） 
📌健康建議：乳糖不耐者可選擇無乳糖牛奶或強化鈣的植物奶。 主要營養素：鈣、蛋白質、維生素B2 提供能量：維持骨骼健康、幫助肌肉與神經正常運作 食物來源： 動物乳品：牛奶、羊奶、優格、起司 植物奶（強化鈣）：豆漿、杏仁奶、燕麥奶（須確認鈣含量） 每天早晚建議各喝一杯奶（一杯約240毫升）才能補充足夠的鈣質，其他如小魚干、黑芝麻、豆干、海帶或深綠色蔬菜均有不同的鈣質。 年長者與發育中的孩童更要注意乳品的攝取，不只是鈣，也是極佳蛋白質的營養來源！",現代素食的挑戰與迷思 - 營養師說健康
慈濟,,營養素類,鈣對人體的主要功能是什麼？,維持骨骼健康並幫助肌肉與神經正常運作,讓頭髮變長,讓皮膚變白,維持骨骼健康並幫助肌肉與神經正常運作,,
慈濟,,營養素類,以下哪一項屬於乳品類食物？,牛奶,杏仁奶,馬鈴薯,牛奶,,
慈濟,,營養素類,若有乳糖不耐症，可以選擇哪一種替代品補充鈣質？,無乳糖牛奶或強化鈣的植物奶,果汁,咖啡,無乳糖牛奶或強化鈣的植物奶,,
慈濟,,營養素類,一般建議每天喝幾杯奶較能補充足夠的鈣質？平均一杯牛奶大約是240毫升,每天一杯,每天早晚各一杯,每週一杯,每天早晚各一杯,,
慈濟,,營養素類,以下哪一種植物飲品如果「強化鈣」也可以補充鈣質？,豆漿,燕麥奶,以上兩個選項都正確,以上兩個選項都正確,,
慈濟,,營養素類,哪些族群更需要注意鈣質與乳品的攝取？,年長者與發育中的孩童,只有上班族,只有運動員,年長者與發育中的孩童,,
慈濟,,營養素類,除了乳品外，以下哪一種食物也含有鈣質？,深綠色蔬菜,黑芝麻,以上兩個選項都正確,以上兩個選項都正確,,
慈濟,,營養素類,花青素對人體的主要作用是什麼？,抗氧化,提升免疫力,維持身體活動和腦部運作,抗氧化,,
